method,time,rms_w2,standard_error,mean_runtime_seconds
full empirical drift,2.624,1.9333565835946604,0.021001057838730484,0.034581358000006425
full empirical drift,2.7,1.8987276245647509,0.022480526467791043,0.034581358000006425
full empirical drift,2.7720000000000002,1.8538334883740821,0.02055329924975915,0.034581358000006425
full empirical drift,2.848,1.821047077438634,0.020437076501339777,0.034581358000006425
full empirical drift,2.924,1.786582925526591,0.020388815639060757,0.034581358000006425
full empirical drift,3.0,1.7604437893751375,0.020696003292003398,0.034581358000006425
full empirical drift,3.072,1.738965735520458,0.022650734660606662,0.034581358000006425
full empirical drift,3.148,1.7124892621103367,0.024065225560180363,0.034581358000006425
full empirical drift,3.224,1.6751807511086996,0.023685271774883526,0.034581358000006425
full empirical drift,3.3000000000000003,1.6449204395719268,0.026401102259912424,0.034581358000006425
full empirical drift,3.372,1.6266495466254964,0.027002860916199127,0.034581358000006425
full empirical drift,3.448,1.5917401335750525,0.024215307340427025,0.034581358000006425
full empirical drift,3.524,1.5674730388356433,0.022497196058758176,0.034581358000006425
full empirical drift,3.6,1.5375958238710064,0.023884782393922877,0.034581358000006425
full empirical drift,3.672,1.5098779173916097,0.025536760889877982,0.034581358000006425
full empirical drift,3.748,1.473082368887906,0.028610567041284916,0.034581358000006425
full empirical drift,3.8240000000000003,1.4453907975010574,0.02776794021264687,0.034581358000006425
full empirical drift,3.9,1.4154384825000483,0.0278378552568953,0.034581358000006425
full empirical drift,3.972,1.3900459017562492,0.02873669847374217,0.034581358000006425
full empirical drift,4.048,1.3579733428309622,0.028686001586730053,0.034581358000006425
full empirical drift,4.124,1.3347988870195844,0.028784726031375663,0.034581358000006425
full empirical drift,4.2,1.302031815036739,0.025886991312593637,0.034581358000006425
full empirical drift,4.272,1.2870973744273484,0.02566474058630936,0.034581358000006425
full empirical drift,4.348,1.2617159325147786,0.02247498155639597,0.034581358000006425
full empirical drift,4.424,1.2403427485069085,0.024558812537291384,0.034581358000006425
full empirical drift,4.5,1.2178619516188791,0.024247200868822878,0.034581358000006425
full empirical drift,4.572,1.1867081984837935,0.02306312200325801,0.034581358000006425
full empirical drift,4.648,1.1657320431109695,0.01853319431668952,0.034581358000006425
full empirical drift,4.724,1.1517349062198377,0.019829053203494568,0.034581358000006425
full empirical drift,4.8,1.1375476902935446,0.019856152044402435,0.034581358000006425
full empirical drift,4.872,1.1241796053164737,0.02098253708496577,0.034581358000006425
full empirical drift,4.948,1.0957167473822989,0.02471904252627166,0.034581358000006425
full empirical drift,5.024,1.078206600044423,0.026085682285444407,0.034581358000006425
full empirical drift,5.1000000000000005,1.0466037198314548,0.02130607093250655,0.034581358000006425
full empirical drift,5.172,1.0271045825468104,0.0222271292188303,0.034581358000006425
full empirical drift,5.248,1.0126319371487786,0.023168138943366154,0.034581358000006425
full empirical drift,5.324,0.9826033205463163,0.021659041342094017,0.034581358000006425
full empirical drift,5.4,0.9638902805134151,0.025229602107172226,0.034581358000006425
full empirical drift,5.472,0.9450528425403457,0.02509951029902997,0.034581358000006425
full empirical drift,5.548,0.9310696359354635,0.02574335409813611,0.034581358000006425
full empirical drift,5.6240000000000006,0.9156339987685238,0.024964735178397375,0.034581358000006425
full empirical drift,5.7,0.8894944123094425,0.024588996568834398,0.034581358000006425
full empirical drift,5.772,0.877484602370313,0.024952633159855745,0.034581358000006425
full empirical drift,5.848,0.8515846116084516,0.023523251319981037,0.034581358000006425
full empirical drift,5.924,0.8365739145319935,0.022184396873041006,0.034581358000006425
full empirical drift,6.0,0.8172125587822091,0.02038174105426405,0.034581358000006425
